case_id,seed,timestamp,S,mu,delta,lf_success,lf_peak_force,lf_safety_violated,lf_max_rotation_deg,lf_wall_time,lf_connector_failed_t,hf_success,hf_peak_force,hf_safety_violated,hf_max_rotation_deg,hf_wall_time,hf_connector_failed_t,hf_failure_sequence,hf_n_failed,force_discrepancy,adequate_label,success_agree,safety_agree,speedup_ratio,phase
10,42,2026-09-21T15:18:14,70.0,0.15,0.004,1,1.2188412242005873,0,0.00035608119343133715,0.005743553978390992,0.0,1,1.4594445084625607,0,0.00715431840561398,0.008835614018607885,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.16485949473710027,0,1,1,1.5383530914569914,pilot
11,42,2026-09-21T15:18:14,70.0,0.15,0.008,1,1.3299698207690924,0,0.0003388180523931298,0.005635570036247373,0.0,1,1.598575208892173,0,0.011612179927404423,0.008975438016932458,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.16802799557314949,0,1,1,1.5926406661976371,pilot
12,42,2026-09-21T15:18:14,70.0,0.45,0.0,1,70.8290027054779,0,0.00915657383947024,0.03149624197976664,2.15,0,65.65508452360281,1,0.011474385437442699,0.031863084994256496,0.28600000000000003,"[[6, 0.28600000000000003], [1, 0.292], [3, 0.298], [0, 0.304], [2, 0.304], [5, 0.314], [4, 0.326], [7, 0.326]]",8,0.07880453158224306,0,0,0,1.0116471995206768,pilot
13,42,2026-09-21T15:18:14,70.0,0.45,0.004,1,1.1855054980245874,0,0.0005931330954373235,0.0056265880120918155,0.0,1,1.1842694098078546,0,0.10155629341171014,0.008969706017524004,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0010437559279128687,1,1,1,1.5941643493797062,pilot
14,42,2026-09-21T15:18:14,70.0,0.45,0.008,1,1.2253521003665193,0,0.0008612391560253351,0.00560580100864172,0.0,1,1.1850444627012473,0,0.06352649396178121,0.008604698989074677,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.034013607872056414,1,1,1,1.5349633309869462,pilot
15,42,2026-09-21T15:18:14,70.0,0.75,0.0,1,70.82900270693239,0,0.003143730572452768,0.03116948902606964,2.15,1,66.12382162075157,0,0.004696047658645582,0.04427797201788053,0.468,"[[6, 0.468], [1, 0.47200000000000003], [3, 0.47200000000000003], [0, 0.48], [5, 0.48], [2, 0.496], [4, 0.496], [7, 0.496]]",8,0.07115712569014905,1,1,1,1.4205549529813328,pilot
16,42,2026-09-21T15:18:14,70.0,0.75,0.004,1,1.2259201830679993,0,0.004245280128593056,0.005722075991798192,0.0,1,1.2118180965324632,0,0.01335899644743827,0.00978938996559009,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.011637131493487603,1,1,1,1.7108108979366634,pilot
17,42,2026-09-21T15:18:14,70.0,0.75,0.008,1,1.20883608776564,0,0.0029555171321125617,0.006029762967955321,0.0,1,1.1980115064164845,0,0.15700866280037357,0.008942195971030742,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.009035456914378352,1,1,1,1.4830095342973357,pilot
18,42,2026-09-21T15:18:14,110.0,0.15,0.0,1,110.82900357504857,0,0.0007676209811730216,0.047405199031345546,3.31,0,104.49204956117794,1,0.06447003999837524,0.038772570027504116,0.382,"[[1, 0.382], [6, 0.382], [3, 0.388], [0, 0.4], [2, 0.4], [5, 0.41000000000000003], [4, 0.42], [7, 0.42]]",8,0.06064532220856174,0,0,0,0.817896999058409,pilot
19,42,2026-09-21T15:18:14,110.0,0.15,0.004,0,21.195076038156472,1,0.06257237403175174,0.0013016050215810537,0.0,1,1.4594445084625607,0,0.00715431840561398,0.00874879804905504,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,13.522700873693543,0,0,0,6.721546017414649,pilot
20,42,2026-09-21T15:18:14,110.0,0.15,0.008,1,1.3299698207690924,0,0.0003388180523931298,0.005632952030282468,0.0,1,1.598575208892173,0,0.011612179927404423,0.009059389994945377,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.16802799557314949,0,1,1,1.608284598598133,pilot
21,42,2026-09-21T15:18:14,110.0,0.45,0.0,1,110.82900270360277,0,0.013700131122639804,0.04698008601553738,3.31,0,104.04492168188517,1,0.017267210706466883,0.03917498601367697,0.382,"[[6, 0.382], [1, 0.388], [3, 0.394], [0, 0.406], [2, 0.406], [5, 0.406], [4, 0.42]]",7,0.06520338438486946,0,0,0,0.8338636502436567,pilot
22,42,2026-09-21T15:18:14,110.0,0.45,0.004,0,20.873854902045913,1,0.10911913673126994,0.0012864560121670365,0.0,1,1.1842694098078546,0,0.10155629341171014,0.008932414988521487,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,16.625934377071054,0,0,0,6.943428227658421,pilot
23,42,2026-09-21T15:18:14,110.0,0.45,0.008,1,1.2253521003665193,0,0.0008612391560253351,0.005589267995674163,0.0,1,1.1850444627012473,0,0.06352649396178121,0.00871431000996381,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.034013607872056414,1,1,1,1.5591147206947826,pilot
24,42,2026-09-21T15:18:14,110.0,0.75,0.0,1,110.82900270273609,0,0.004324568099980235,0.047592350048944354,3.31,0,102.82578952214139,1,0.03709719159429119,0.058479298022575676,0.652,"[[6, 0.652], [1, 0.664], [3, 0.664], [0, 0.68], [2, 0.684], [4, 0.684], [5, 0.684]]",7,0.07783274232843478,0,0,0,1.2287541582299486,pilot
25,42,2026-09-21T15:18:14,110.0,0.75,0.004,0,20.225024670051308,1,0.22576674851374015,0.0012835950474254787,0.0,1,1.2118180965324632,0,0.01335899644743827,0.009535657009109855,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,15.689818981845434,0,0,0,7.4288670934307754,pilot
26,42,2026-09-21T15:18:14,110.0,0.75,0.008,1,1.20883608776564,0,0.0029555171321125617,0.005618032009806484,0.0,1,1.1980115064164845,0,0.15700866280037357,0.009021960955578834,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.009035456914378352,1,1,1,1.6058934765467099,pilot
100,42,2026-09-21T15:19:18,116.6452087902888,0.19598557018434715,0.004386262433281417,0,23.07214630708901,1,0.022436937152280876,0.004117275006137788,0.0,0,1.7203070549364496,1,0.00836431190352861,0.0064958559814840555,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,12.411644299709813,0,1,1,1.5777075788720503,lhs_main
102,44,2026-09-21T15:19:18,34.44777205960193,0.41809950997261225,0.0073579501818771915,1,1.2237888939886565,0,0.0010957810375002326,0.008835788001306355,0.0,0,1.6389747200404594,1,0.011475230870273263,0.007080865034367889,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.25332045758555305,0,0,0,0.8013846680478296,lhs_main
103,45,2026-09-21T15:19:18,99.10992281242089,0.7896808827660744,0.005713171760178422,1,1.2655483652298678,0,0.005888958644193988,0.008523455006070435,0.0,0,1.231535412160116,1,0.008169712921793585,0.007058701012283564,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.027618331339813375,0,0,0,0.8281502051992217,lhs_main
101,43,2026-09-21T15:19:18,52.46052639418813,0.7480681517129574,0.0071843900423738125,1,1.221966942427786,0,0.004159037024828974,0.008609245007392019,0.0,1,1.2051694307457324,0,0.027370912614231687,0.010013080958742648,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.013937883963468636,1,1,1,1.1630614473331025,lhs_main
105,47,2026-09-21T15:19:18,68.35455225564304,0.22522358129817785,0.003358978923902333,1,1.1999993502583568,0,0.0009054030888218865,0.005788151000160724,0.0,1,1.7497425739153716,0,0.0061335513910601635,0.009926295024342835,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.31418520178477627,0,1,1,1.7149336677752884,lhs_main
104,46,2026-09-21T15:19:18,47.271226975983865,0.37744813374142083,0.0005209053728187627,1,48.070383995122114,0,0.0009161602797881946,0.02222338499268517,1.49,1,1.1858351547903623,0,0.0023744150530742338,0.00947482098126784,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,39.537155439299006,0,1,1,0.4263446358143226,lhs_main
106,48,2026-09-21T15:19:18,106.83447376560149,0.43931566984122916,0.003043870596158634,1,107.65558762712256,0,0.06779823308068454,0.045855369011405855,3.218,1,1.1854522853901188,0,0.007685878028692056,0.009024258994031698,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,89.81393570530284,0,1,1,0.19679830712488747,lhs_main
107,49,2026-09-21T15:19:18,115.72909480637402,0.24564102276584715,0.001665710062058845,1,116.55301226666991,0,0.09024412694908186,0.049416604975704104,3.476,1,1.1854790857547501,0,0.002414712876750541,0.009532459022011608,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,97.31722353200772,0,1,1,0.19289991748114393,lhs_main
109,51,2026-09-21T15:19:18,38.59123924684255,0.16978399471110545,0.0008050712167481207,1,39.38072248950147,0,0.0002699076988994501,0.019161712960340083,1.238,1,1.1854814407464824,0,0.000705794152669238,0.00967603299068287,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,32.21918094702852,0,1,1,0.5049670147293105,lhs_main
108,50,2026-09-21T15:19:18,72.24432330058525,0.6443275058090072,0.0019445324639403676,1,73.03464716250302,0,0.11847417003114802,0.032786394003778696,2.214,1,1.1870021664843795,0,0.006378258125931078,0.01004597800783813,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,60.52865531729771,0,1,1,0.30640692009863335,lhs_main
110,52,2026-09-21T15:19:18,82.85104756881843,0.6866454863745921,0.006250786794269789,1,1.208095352572606,0,0.0027950025628000925,0.0058185699745081365,0.0,1,1.1974207997187511,0,0.03237830692278894,0.009278994053602219,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.00891462120614741,1,1,1,1.5947207121774976,lhs_main
112,54,2026-09-21T15:19:18,102.57401569893291,0.1273340131032837,0.0035163694504151857,0,18.78775141590637,1,0.0051865992788566444,0.001504251966252923,0.0,1,1.7053340676777822,0,0.011687421812760978,0.009355009999126196,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,10.017050425486639,0,0,0,6.2190445543703925,lhs_main
113,55,2026-09-21T15:19:18,29.066037201063494,0.4157879873135788,0.0020186771488630746,1,1.189657173688124,0,0.0005067138529348309,0.006314083992037922,0.0,1,1.185942809883057,0,0.000822140835205777,0.009126066986937076,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.003131992347450079,1,1,1,1.4453509010087722,lhs_main
114,56,2026-09-21T15:19:18,118.85994697959954,0.7393626867020652,0.007218683843177677,1,1.216652117059374,0,0.0037807684839318255,0.00585370697081089,0.0,1,1.202052552051993,0,0.033368477247502915,0.00945096998475492,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.012145529729510237,1,1,1,1.61452734683877,lhs_main
115,57,2026-09-21T15:19:18,73.83904712850064,0.3080575302693578,0.006091386750337116,1,1.2312604327910184,0,0.0017896842045409616,0.0059397839941084385,0.0,1,1.7011246375503937,0,0.04731546401541518,0.009266764973290265,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.2762079828765376,0,1,1,1.5601181764323075,lhs_main
111,53,2026-09-21T15:19:18,92.12590805879303,0.12314262186421387,0.0025729684582546514,1,92.96547227927101,0,0.0003110291119425805,0.04042554402258247,2.7920000000000003,1,1.1854719414862385,0,0.00034770404696194806,0.009486283990554512,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,77.420643311658,0,1,1,0.23466063895776626,lhs_main
117,59,2026-09-21T15:19:18,25.598527546049798,0.149298305871497,0.002821362386294527,1,1.2005090875658646,0,0.00026327227036406674,0.00589233502978459,0.0,1,1.1854639107059939,0,0.0006616338992595914,0.009341905999463052,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.012691383283790297,1,1,1,1.5854336103160396,lhs_main
