case_id,task,task_id,strength,friction,misalignment,lf_success,hf_success,lf_placement,hf_placement,lf_peak_force,hf_peak_force,lf_wall_time,hf_wall_time,force_error,adequate
0,hdd,0,92.40868131714802,0.33930928364057855,0.0020304373888023627,1,1,1,1,92.95127953008321,0.0,0.465180299943313,0.36418789997696877,9.295127953008322,0
1,hdd,0,35.76754399031354,0.5244469195215955,0.002773983403956353,1,1,1,1,35.77113611532767,0.0,0.3356488000135869,0.3335199999855831,3.5771136115327673,0
2,hdd,0,111.74628676600321,0.2661658499543538,0.003489916969795319,1,1,1,1,112.20778427326178,0.0,0.3526197000173852,0.3344063999829814,11.220778427326177,0
3,hdd,0,106.8498713540348,0.6334681379434574,0.0007752862669640373,1,1,1,1,106.91566672369532,0.0,0.3875036999816075,0.33028490003198385,10.691566672369532,0
4,hdd,0,46.11871162663978,0.6604135562357014,0.0071881756213646045,1,1,1,1,46.58018891655256,0.0,0.4282442000694573,0.3240405999822542,4.658018891655256,0
5,hdd,0,42.924253759405076,0.579372635496963,0.006771631539837221,1,1,1,1,43.183261993137734,0.0,0.32723430008627474,0.32801100006327033,4.318326199313773,0
6,hdd,0,32.39078960933581,0.6561927830687152,0.0012064509935977234,1,1,1,1,32.43085700628572,0.0,0.3343956000171602,0.3918363000266254,3.243085700628572,0
7,hdd,0,96.5484913439567,0.12573503794307855,0.003629516770098075,1,1,1,1,97.05191603201517,0.0,0.4397813000250608,0.3984468999551609,9.705191603201516,0
8,hdd,0,81.40720550097541,0.6548791763483454,6.755410656727909e-05,1,1,1,1,81.42301593251138,0.0,0.33487999998033047,0.32999080000445247,8.142301593251137,0
9,hdd,0,62.31873207807092,0.45197332451850913,0.003981785361246868,1,1,1,1,62.38690047157509,0.0,0.35888620000332594,0.35950500005856156,6.238690047157509,0
10,hdd,0,66.41841261469739,0.2634091439576535,0.003191311323782983,1,1,1,1,66.90614090018775,0.0,0.44684290001168847,0.4156770999543369,6.690614090018775,0
11,hdd,0,84.87651343132171,0.3602377031070232,0.0069016140970910855,1,1,1,1,84.94116501171422,0.0,0.3460159000242129,0.3702627000166103,8.494116501171423,0
12,hdd,0,67.95669283155485,0.31355668850547286,0.00042061575069197646,1,1,1,1,68.49519800588881,0.0,0.3383054999867454,0.511653900030069,6.849519800588881,0
13,hdd,0,48.77672866843916,0.7173133121892981,0.006164461914771791,1,1,1,1,48.78921784319989,0.0,0.4343565999297425,0.33491630002390593,4.8789217843199895,0
14,hdd,0,93.09991163266591,0.5262711445034419,0.00787113973862946,1,1,1,1,93.2648318705025,0.0,0.3524189000017941,0.3453190999571234,9.32648318705025,0
15,hdd,0,43.398411880834395,0.2017625504489296,0.0009789779172285269,1,1,1,1,43.420473623093955,0.0,0.3444135000463575,0.36987529997713864,4.342047362309396,0
16,hdd,0,98.10583483200834,0.16734057753824494,0.0024746691146006637,1,1,1,1,98.16550818116845,0.0,0.3439077999209985,0.37078739993739873,9.816550818116845,0
17,hdd,0,62.997545910083,0.597497176452495,0.0014489373104908793,1,1,1,1,63.42156313373289,0.0,0.4211653999518603,0.35581029998138547,6.342156313373289,0
18,hdd,0,31.43161154045789,0.7351782989276154,0.007801095579318978,1,1,1,1,31.621796563998792,0.0,0.3272311999462545,0.3337926999665797,3.1621796563998794,0
